Gene,nascentRNA,PCNA,ratio
APEX1,0.3118,0.1670,0.9003
APEX1,0.2773,0.2529,0.1328
APEX1,0.2764,0.2064,0.4217
APEX1,0.1982,0.1080,0.8759
APEX1,0.2316,0.1107,1.0643
APEX1,0.0590,0.0814,-0.4645
APEX1,0.1899,0.1626,0.2235
APEX1,0.3124,0.1725,0.8567
APEX1,0.2036,0.1157,0.8157
APEX1,0.1819,0.1223,0.5722
APEX1,0.2596,0.1959,0.4064
APEX1,0.2672,0.0807,1.7275
APEX1,0.2965,0.0915,1.6953
APEX1,0.2419,0.1802,0.4248
APEX1,0.2066,0.1437,0.5236
APEX1,0.2887,0.2143,0.4298
APEX1,0.2623,0.1688,0.6357
APEX1,0.1993,0.1543,0.3692
APEX1,0.1764,0.0869,1.0213
APEX1,0.0398,0.1565,-1.9752
APEX1,0.1704,0.1076,0.6636
APEX1,0.2627,0.1669,0.6543
APEX1,0.1275,0.1654,-0.3759
APEX1,0.2487,0.1968,0.3376
APEX1,0.2025,0.1357,0.5777
APEX1,0.2385,0.1612,0.5655
APEX1,0.1706,0.1320,0.3704
APEX1,0.1808,0.1245,0.5382
APEX1,0.2438,0.1797,0.4400
APEX1,0.2541,0.2563,-0.0124
APEX1,0.2156,0.1369,0.6546
APEX1,0.1768,0.1162,0.6054
APEX1,0.2114,0.1312,0.6879
APEX1,0.2808,0.1728,0.7004
APEX1,0.2449,0.1433,0.7731
APEX1,0.2572,0.1881,0.4518
APEX1,0.3176,0.1984,0.6789
APEX1,0.2096,0.2031,0.0454
APEX1,0.3083,0.1960,0.6536
APEX1,0.1943,0.1338,0.5383
APEX1,0.2312,0.1553,0.5740
APEX1,0.1911,0.1377,0.4731
APEX1,0.2565,0.1653,0.6338
APEX1,0.1808,0.1108,0.7062
APEX1,0.2391,0.1553,0.6230
APEX1,0.1384,0.0701,0.9806
APEX1,0.2306,0.1765,0.3858
APEX1,0.1954,0.1154,0.7599
APEX1,0.2384,0.1683,0.5029
APEX1,0.1886,0.1393,0.4370
APEX1,0.2537,0.1927,0.3969
APEX1,0.1930,0.1281,0.5914
APEX1,0.2598,0.1879,0.4673
APEX1,0.2337,0.1683,0.4732
APEX1,0.2112,0.1511,0.4831
APEX1,0.2423,0.1873,0.3710
APEX1,0.2561,0.1851,0.4689
APEX1,0.2198,0.1503,0.5486
APEX1,0.2606,0.1538,0.7611
APEX1,0.2278,0.1959,0.2177
APEX1,0.2408,0.1601,0.5887
APEX1,0.2982,0.1878,0.6671
APEX1,0.2959,0.1943,0.6070
APEX1,0.3892,0.1958,0.9913
APEX1,0.2674,0.1426,0.9067
APEX1,0.1435,0.1159,0.3080
APEX1,0.1260,0.1047,0.2681
APEX1,0.1947,0.1548,0.3303
APEX1,0.2337,0.1523,0.6175
APEX1,0.2594,0.2312,0.1659
APEX1,0.1248,0.1690,-0.4375
APEX1,0.1719,0.1387,0.3094
APEX1,0.1590,0.1202,0.4034
APEX1,0.1742,0.1285,0.4391
APEX1,0.1920,0.1049,0.8724
APEX1,0.1963,0.1271,0.6264
APEX1,0.1754,0.1365,0.3619
APEX1,0.2984,0.1549,0.9456
APEX1,0.1133,0.0981,0.2081
APEX1,0.1599,0.1268,0.3347
APEX1,0.3435,0.1938,0.8258
APEX1,0.1748,0.0959,0.8660
APEX1,0.1834,0.1436,0.3535
APEX1,0.1388,0.1331,0.0608
APEX1,0.2272,0.1713,0.4071
APEX1,0.1442,0.1437,0.0049
APEX1,0.2052,0.1085,0.9195
APEX1,0.3380,0.1174,1.5250
APEX1,0.1582,0.1193,0.4075
APEX1,0.1989,0.1170,0.7656
APEX1,0.2460,0.1784,0.4637
APEX1,0.2322,0.1093,1.0866
APEX1,0.3330,0.2189,0.6049
APEX1,0.1359,0.1347,0.0137
APEX1,0.1216,0.1203,0.0152
APEX1,0.2890,0.2768,0.0621
APEX1,0.2436,0.1304,0.9018
APEX1,0.1821,0.1038,0.8109
APEX1,0.2895,0.1787,0.6965
APEX1,0.1814,0.1339,0.4389
APEX1,0.2381,0.1277,0.8986
APEX1,0.2070,0.0985,1.0711
APEX1,0.2580,0.1333,0.9530
APEX1,0.3362,0.2345,0.5199
APEX1,0.2726,0.1930,0.4981
APEX1,0.2449,0.1186,1.0460
APEX1,0.2718,0.1512,0.8461
APEX1,0.1478,0.1188,0.3151
APEX1,0.2563,0.1811,0.5010
APEX1,0.1692,0.1191,0.5065
APEX1,0.2739,0.1463,0.9046
APEX1,0.2430,0.1338,0.8607
APEX1,0.2237,0.1143,0.9690
APEX1,0.1879,0.1306,0.5247
APEX1,0.1721,0.1282,0.4244
APEX1,0.3885,0.3035,0.3563
APEX1,0.2520,0.1293,0.9624
APEX1,0.2733,0.1265,1.1113
APEX1,0.2169,0.1159,0.9044
APEX1,0.2858,0.1660,0.7843
APEX1,0.1266,0.0972,0.3810
APEX1,0.3026,0.1538,0.9760
APEX1,0.1697,0.1216,0.4810
APEX1,0.2609,0.1391,0.9073
APEX1,0.1956,0.1183,0.7257
APEX1,0.3302,0.2609,0.3402
APEX1,0.2215,0.1414,0.6478
APEX1,0.1953,0.1970,-0.0123
APEX1,0.2711,0.1748,0.6332
APEX1,0.1194,0.2116,-0.8252
APEX1,0.0927,0.0915,0.0186
APEX1,0.1672,0.1187,0.4938
APEX1,0.1838,0.1046,0.8123
APEX1,0.0337,0.1346,-1.9976
APEX1,0.1714,0.1049,0.7091
APEX1,0.1596,0.0975,0.7103
APEX1,0.2756,0.2385,0.2085
APEX1,0.2103,0.1400,0.5872
APEX1,0.2678,0.2027,0.4022
APEX1,0.0966,0.1019,-0.0776
APEX1,0.1904,0.1079,0.8189
APEX1,0.2672,0.1316,1.0219
APEX1,0.0203,0.0313,-0.6220
APEX1,0.0201,0.0344,-0.7733
APEX1,0.2667,0.1753,0.6050
APEX1,0.2679,0.1435,0.9007
APEX1,0.2261,0.1236,0.8719
APEX1,0.1796,0.1063,0.7562
APEX1,0.2584,0.1927,0.4236
APEX1,0.1827,0.1647,0.1499
APEX1,0.2058,0.1512,0.4447
APEX1,0.2677,0.1236,1.1153
APEX1,0.1976,0.1657,0.2540
APEX1,0.1704,0.1114,0.6133
APEX1,0.2098,0.1457,0.5260
APEX1,0.2067,0.1567,0.3994
APEX1,0.1694,0.1765,-0.0595
APEX1,0.1749,0.1347,0.3771
APEX1,0.2686,0.2152,0.3201
APEX1,0.0407,0.0469,-0.2070
APEX1,0.2383,0.2113,0.1734
APEX1,0.2217,0.1814,0.2893
APEX1,0.3286,0.2359,0.4783
APEX1,0.2207,0.1850,0.2549
APEX1,0.2349,0.1715,0.4537
APEX1,0.2248,0.1383,0.7010
APEX1,0.2035,0.1661,0.2929
APEX1,0.2647,0.1733,0.6116
APEX1,0.2603,0.2063,0.3356
APEX1,0.1451,0.1144,0.3433
APEX1,0.2928,0.1588,0.8829
APEX1,0.1454,0.1237,0.2331
APEX1,0.2258,0.1746,0.3707
APEX1,0.2120,0.2019,0.0705
APEX1,0.1219,0.1186,0.0389
APEX1,0.2127,0.1879,0.1785
APEX1,0.2725,0.2534,0.1053
APEX1,0.2142,0.1383,0.6314
APEX1,0.1862,0.1252,0.5726
APEX1,0.3471,0.1937,0.8411
APEX1,0.1999,0.1275,0.6496
APEX1,0.3039,0.2060,0.5608
APEX1,0.2136,0.1505,0.5054
APEX1,0.1527,0.1259,0.2789
APEX1,0.2018,0.1285,0.6507
APEX1,0.2398,0.1450,0.7256
APEX1,0.2717,0.1740,0.6425
APEX1,0.2466,0.1687,0.5477
APEX1,0.2679,0.1972,0.4416
APEX1,0.2568,0.1625,0.6599
APEX1,0.3474,0.1973,0.8164
APEX1,0.3083,0.1537,1.0041
APEX1,0.3486,0.1933,0.8511
APEX1,0.2289,0.1246,0.8774
APEX1,0.2272,0.1520,0.5797
APEX1,0.2193,0.1433,0.6132
APEX1,0.3039,0.1563,0.9591
APEX1,0.2462,0.1771,0.4752
APEX1,0.1944,0.1339,0.5383
APEX1,0.2481,0.1950,0.3476
APEX1,0.2289,0.1401,0.7081
APEX1,0.4334,0.1187,1.8686
APEX1,0.2965,0.1971,0.5889
APEX1,0.2948,0.1887,0.6433
APEX1,0.2022,0.1706,0.2453
APEX1,0.1173,0.1454,-0.3096
APEX1,0.1255,0.0961,0.3852
APEX1,0.2731,0.1607,0.7650
APEX1,0.3387,0.1601,1.0811
APEX1,0.3163,0.1767,0.8396
APEX1,0.2102,0.1392,0.5951
APEX1,0.2153,0.1083,0.9909
APEX1,0.1891,0.1370,0.4654
APEX1,0.2538,0.1505,0.7541
APEX1,0.3038,0.1984,0.6151
APEX1,0.2612,0.1665,0.6497
APEX1,0.1988,0.1592,0.3199
APEX1,0.2270,0.1402,0.6945
APEX1,0.2196,0.1219,0.8496
APEX1,0.3400,0.1999,0.7660
APEX1,0.2646,0.1743,0.6021
APEX1,0.2518,0.1721,0.5491
APEX1,0.2228,0.1383,0.6877
APEX1,0.2031,0.1758,0.2082
APEX1,0.1868,0.1036,0.8509
APEX1,0.3523,0.1841,0.9361
APEX1,0.2258,0.1188,0.9266
APEX1,0.1872,0.1013,0.8866
APEX1,0.2343,0.1796,0.3841
APEX1,0.1677,0.0781,1.1016
APEX1,0.1818,0.1457,0.3195
APEX1,0.2547,0.1958,0.3795
APEX1,0.1775,0.1118,0.6672
APEX1,0.1673,0.1084,0.6260
